scenario,sweep_param,sweep_value,depth_rel,A,aPAR,Rd,Ps,Kn
Uniform,LAI,1.5,0.678571428571429,7.34386070748229,435.455411159258,0.585625482916727,0.500229778290972,1.00590503517373
Uniform,LAI,1.5,0.692857142857143,7.25225051696191,429.308786252092,0.580295595116451,0.492902259059078,0.995360609761789
Uniform,LAI,1.5,0.707142857142857,7.16226095012748,423.28750458626,0.575014215628725,0.485682075576522,0.985027117367576
Uniform,LAI,1.5,0.721428571428571,7.07389040105449,417.389830917171,0.569780902970264,0.478567655556323,0.974906163294287
Uniform,LAI,1.5,0.735714285714286,6.98713754863103,411.614070648348,0.564595219675801,0.471557449742843,0.96499976283713
Uniform,LAI,1.5,0.75,6.902000141264,405.958569280215,0.559456732261529,0.464649931574415,0.955309647601828
Uniform,LAI,1.5,0.764285714285714,6.81847579391393,400.421711873568,0.554365011188851,0.457843596850917,0.945837737172497
Uniform,LAI,1.5,0.778571428571429,6.73656262351827,395.001922527529,0.549319630828488,0.45113696340621,0.936586572966657
Uniform,LAI,1.5,0.792857142857143,6.65625745297175,389.697663871796,0.544320169424891,0.444528570785381,0.927558250799603
Uniform,LAI,1.5,0.807142857142857,6.5775569585603,384.507436573002,0.539366209060985,0.438016979926706,0.918755132509224
Uniform,LAI,1.5,0.821428571428571,6.50045735384175,379.429778855006,0.53445733562324,0.431600772848282,0.91017967228787
Uniform,LAI,1.5,0.835714285714286,6.42495512028744,374.463266032948,0.529593138767053,0.425278552339238,0.901834906054431
Uniform,LAI,1.5,0.85,6.35104584320575,369.606510060888,0.524773211882439,0.419048941655475,0.893723758026928
Uniform,LAI,1.5,0.864285714285714,6.27872443700898,364.858159092882,0.519997152060051,0.412910584219867,0.885849197627093
Uniform,LAI,1.5,0.878571428571429,6.20798569484726,360.216897057329,0.515264560057497,0.406862143326842,0.878214616723867
Uniform,LAI,1.5,0.892857142857143,6.13882379149532,355.681443244438,0.510575040265961,0.400902301851306,0.870823534893796
Uniform,LAI,1.5,0.907142857142857,6.07123306596772,351.250551906672,0.50592820067714,0.395029761961813,0.863680162228405
Uniform,LAI,1.5,0.921428571428571,6.00520697363436,346.923011872027,0.501323652850473,0.389243244837952,0.856788743053245
Uniform,LAI,1.5,0.935714285714286,5.94073850269036,342.697646170008,0.496761011880666,0.383541490391867,0.850153865623601
Uniform,LAI,1.5,0.95,5.87781992666841,338.573311670174,0.492239896365526,0.377923256993853,0.843780323333816
Uniform,LAI,1.5,0.964285714285714,5.8164433954352,334.548898733121,0.487759928374069,0.372387321201978,0.837673573138312
Uniform,LAI,1.5,0.978571428571429,5.7566001696941,330.623330873788,0.483320733414934,0.366932477495665,0.831839228696234
Uniform,LAI,1.5,0.992857142857143,5.70040440428757,326.79556443697,0.478921940405075,0.36155753801317,0.826120188405718
Uniform,LAI,3,0.00714285714285714,13.3301540666222,890.518124545495,0.900000000000002,0.9935746846842,1.65135231309474
Uniform,LAI,3,0.0214285714285714,13.0904651852882,860.690960091532,0.891808930519285,0.964679505379257,1.60614009642607
Uniform,LAI,3,0.0357142857142857,12.8493902152383,831.898537588912,0.883692409504387,0.936624656851593,1.56054022172972
Uniform,LAI,3,0.05,12.6070929669249,804.104029242955,0.875649758475679,0.909385700567437,1.51475282695568
Uniform,LAI,3,0.0642857142857143,12.3637577324455,777.271966431642,0.867680305128516,0.88293890871545,1.46897317146266
Uniform,LAI,3,0.0785714285714286,12.1195840582414,751.368188556535,0.859783383277006,0.857261243537465,1.42338661254968
Uniform,LAI,3,0.0928571428571429,11.8747880273939,726.359793880124,0.851958332798352,0.832330337260333,1.37816680841707
Uniform,LAI,3,0.107142857142857,11.6296072515723,702.215092271727,0.844204499577657,0.808124472611391,1.33347653162032
Uniform,LAI,3,0.121428571428571,11.3842838382852,678.903559787131,0.836521235453238,0.784622563900583,1.28945967465228
Uniform,LAI,3,0.135714285714286,11.1390790782907,656.395795010231,0.82890789816247,0.761804138652745,1.24624756676283
Uniform,LAI,3,0.15,10.8942557358097,634.663477087772,0.821363851288065,0.739649319774067,1.20395193385905
Uniform,LAI,3,0.164285714285714,10.6500821218665,613.679325391076,0.813888464204897,0.718138808237188,1.16266805447553
Uniform,LAI,3,0.178571428571429,10.4068231978391,593.417060741317,0.80648111202728,0.697253866269844,1.12247208694712
Uniform,LAI,3,0.192857142857143,10.1647372686614,573.851368137415,0.799141175556722,0.676976301032426,1.08342122245433
Uniform,LAI,3,0.207142857142857,9.92409121950001,554.957860928118,0.791868041230179,0.657288448770222,1.04556271885065
Uniform,LAI,3,0.221428571428571,9.68514444596886,536.713046372161,0.784661101068762,0.638173159426553,1.00892926702807
Uniform,LAI,3,0.235714285714286,9.44814149975253,519.094292532659,0.777519752626905,0.619613781703384,0.973537465495678
Uniform,LAI,3,0.25,9.21332247134384,502.079796454053,0.77044339894202,0.601594148556407,0.939394862409802
Uniform,LAI,3,0.264285714285714,8.98091751524559,485.64855357203,0.763431448484581,0.584098563111951,0.906499669163995
Uniform,LAI,3,0.278571428571429,8.75114157202699,469.780328308794,0.75648331510869,0.567111784993461,0.874840113450035
Uniform,LAI,3,0.292857142857143,8.52419734310288,454.455625808037,0.749598418003069,0.550619017045634,0.844397617405498
Uniform,LAI,3,0.307142857142857,8.30027321682222,439.655664765759,0.742776181642513,0.534605892444636,0.81514730086143
Uniform,LAI,3,0.321428571428571,8.07954464775628,425.362351314869,0.736016035739785,0.51905846218319,0.787060048781155
Uniform,LAI,3,0.335714285714286,7.86217337721733,411.558253923215,0.729317415197933,0.50396318291961,0.760103250780212
Uniform,LAI,3,0.35,7.64830884882183,398.226579266294,0.722679760063061,0.489306905180227,0.734242676375773
Uniform,LAI,3,0.364285714285714,7.43808240042834,385.351149037485,0.716102515477524,0.475076861904897,0.709440043776311
Uniform,LAI,3,0.378571428571429,7.23161390677287,372.916377660151,0.709585131633531,0.461260657325636,0.685657118846873
Uniform,LAI,3,0.392857142857143,7.02900873964161,360.907250867378,0.703127063727204,0.44784625616869,0.662854578702979
